,cWT-1,cWT-2,cKO-1,cKO-2
Gm38188,0,0,0,0
Fam71a,0,0,0,0
Atf3,10963,13519,17908,19240
Nenf,62,61,91,83
Ppp2r5a,1211,1187,1815,1521
Gm32200,1,3,1,10
Gm37432,0,0,0,0
Dtl,0,0,0,0
Gm38037,0,0,0,0
1700034H15Rik,12,18,12,8
Gm26670,2,1,1,1
Traf5,1746,1927,2077,2751
Rcor3,151,150,250,134
Hhat,395,422,1102,1017
Sertad4,0,0,1,3
Syt14,4,1,5,6
Gm31406,0,0,0,0
Utp25,182,194,287,276
Traf3ip3,1190,1033,1266,938
Hsd11b1,4,1,0,0
G0s2,0,0,0,0
Gm37650,0,0,0,0
Camk1g,0,0,0,0
