X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,r
Zfp112,18.55642421,0.267708768,0.507248806,0.527766187,0.597661628,0.704662741,1
Zfp111,178.7007031,-1.154890902,0.194284065,-5.944341866,2.78E-09,9.89E-09,1
Zfp110,933.9389862,-0.08893236,0.125940205,-0.706147494,0.480096418,0.597558953,1
Zfp11,48.85731125,-0.807047376,0.358363625,-2.252034858,0.024320069,0.044142877,1
Zfp109,26.16942126,-1.174247564,0.46862994,-2.505703248,0.012220814,0.023509344,1
Zfp108,55.42588639,0.168440467,0.333374502,0.505258999,0.613376936,0.718152465,1
Zfp106,1213.773064,-1.199766198,0.111521331,-10.75817682,5.42E-27,4.97E-26,1
Zfp105,180.3882069,0.50238971,0.186902724,2.687974251,0.007188694,0.014332628,1
Zfp101,108.8135279,0.22646296,0.27135612,0.834559988,0.403965498,0.521691292,1
Zfp1,195.3499323,0.591032915,0.179611965,3.290609929,0.000999704,0.002230898,1
Zfhx4,9.977512033,0.139731706,0.701878457,0.199082484,0.842198223,0.893698589,1
Zfhx3,1316.758898,-2.979135443,0.118036975,-25.23900191,1.50E-140,1.15E-137,1
Zfhx2os,0.435102024,-0.119538468,3.59639638,-0.033238402,0.973484475,0.980940804,1
Zfhx2,68.72085829,-3.235640634,0.360187015,-8.983223978,2.63E-19,1.67E-18,1
Zfc3h1,559.2607526,-1.913585818,0.144548026,-13.23840848,5.27E-40,8.73E-39,1
Zfat,97.05134751,-1.17383552,0.246247454,-4.766894032,1.87E-06,5.37E-06,1
Zfand6,1150.289951,0.550844188,0.111977323,4.919247699,8.69E-07,2.57E-06,1
Zfand5,1586.099021,-0.31265868,0.095109085,-3.287369225,0.001011281,0.002256312,1
Zfand4,41.24549686,0.85344164,0.354268454,2.409025215,0.015995193,0.030034788,1
Zfand3,1034.592214,-0.49430309,0.121098175,-4.081837658,4.47E-05,0.000113822,1
Zfand2b,330.7520645,1.734374802,0.14793057,11.72424874,9.57E-32,1.10E-30,1
Zfand2a,376.6587312,-0.031932842,0.136659747,-0.233666775,0.815243683,0.872737056,1
Zfand1,262.4736688,0.613128308,0.156608423,3.915040429,9.04E-05,0.000224366,1
Zer1,327.816519,-1.106638224,0.148817376,-7.436216479,1.04E-13,4.89E-13,1
Zeb2os,1212.972163,1.392325419,0.117271182,11.87269882,1.64E-32,1.97E-31,1
Zeb2,1963.226761,-1.709322162,0.097144233,-17.5957142,2.66E-69,1.43E-67,1
Zeb1,424.2644644,-1.41298387,0.146569543,-9.640364823,5.40E-22,3.94E-21,1
