"","X","norm_foldChange","pvalue.adj.FDR","log2foldchange"
"148","Tiparp",1.99569892473118,2.80336236863407e-05,0.996894089132176
"149","Xaf1",0.435942028985507,2.88047856068552e-05,-1.19779179487526
"150","Atp1a1",1.60429530201342,2.88047856068552e-05,0.681939722552348
"151","Prdx1",0.661713316369805,3.07402754237769e-05,-0.595721782134275
"152","Cd74",0.1935732546706,3.5471775398281e-05,-2.36904846055776
"153","Slfn1",0.516098981077147,3.58007224386446e-05,-0.954280312543636
"154","Clec4a3",0.630068280571074,4.13955151646465e-05,-0.666419912777315
"155","Crip1",0.509918699186992,4.237891075436e-05,-0.971660850998756
"156","Picalm",1.57010101010101,4.34530049896948e-05,0.65085737573101
"157","Tubb4b",0.704719101123595,4.46937504505086e-05,-0.504879776625915
"158","Ddit4",2.16888888888889,4.66893827649539e-05,1.11695614634585
"159","Ccl4",4.02285714285714,4.99230704466177e-05,2.00822050680497
"160","Lgals1",0.472407732864675,5.0054763894164e-05,-1.08189551441518
"161","Clec4e",1.88347394540943,5.00840933338582e-05,0.913396076243312
"162","Irgm1",0.387282051282051,5.36495483140011e-05,-1.3685434541625
"163","Dleu2",0.636332378223496,5.43703707309935e-05,-0.652147563406115
"164","Nfil3",1.72922173274596,6.02781641734001e-05,0.790122873157578
"165","Tgm2",2.42152046783626,6.19641189129258e-05,1.27591319733189
"166","Add3",0.567914764079148,6.38631166115845e-05,-0.816253676896557
"167","Vamp8",1.34203309692671,6.44590039547332e-05,0.424420251406385
"168","Serpinb2",0.46030428769018,6.81977963867675e-05,-1.11934021369739
"169","Cd9",2.14396204033215,6.81977963867675e-05,1.10027936255438
"170","Il1r2",3.67502222222222,6.86051233633718e-05,1.87775297370216
"171","Dusp2",2.66285714285714,6.98672850590309e-05,1.41297503282195
"172","Ywhae",0.68568590937306,7.35771577669949e-05,-0.544380219302339
"173","Esyt1",0.47067264573991,8.53747207559029e-05,-1.08720408507695
"174","Myof",0.311678486997636,8.97151355716705e-05,-1.68186951571146
"175","St8sia4",0.502049469964664,9.7210945303698e-05,-0.994098566256502
"176","Hif1a",1.69411764705882,9.7210945303698e-05,0.760534065304608
"177","Zbp1",0.598830409356725,0.00010025196920049,-0.73978060977326
"178","Nxpe4",0.444779874213836,0.000101351533816559,-1.16883658566765
"179","Nfkbia",2.12024539877301,0.000101926482064109,1.08423125304503
"180","Cox6a1",0.765767940979209,0.000112928468675601,-0.385020832137862
"181","Cd2ap",0.617216828478964,0.000115547433830003,-0.696150697216939
"182","Tet2",1.74960167714885,0.000116886339492646,0.807026508450844
"183","Oas3",0.437677419354839,0.000120595633973954,-1.19206014048576
"184","Dbi",0.614968888888889,0.000122868433269706,-0.701414668144474
"185","Mt2",49.92,0.000124007115911421,5.64154602908752
"186","Actr3",0.742652788897785,0.000125082069631306,-0.429240227076529
"187","Atf3",0.367359424201529,0.000140913294845237,-1.44473580903685
"188","Nabp1",0.567359617682198,0.000143298030304529,-0.817664625704266
"189","Lipa",0.509247311827957,0.000152349516765522,-0.973561635253806
"190","Eif4a2",0.647529411764706,0.000154528797956108,-0.626982371210328
"191","Plod3",0.520325203252033,0.000159608556196743,-0.942514505339239
"192","Vim",0.538668283318177,0.000160220427233752,-0.892530972807902
"193","Ndrg1",0.327249190938511,0.000160220427233752,-1.611538469502
"194","Zfp710",0.464054982817869,0.000165358194229121,-1.10763234397582
"195","Stxbp6",0.234146341463415,0.000168973473918431,-2.09451759878429
"196","Hsph1",0.188952380952381,0.00018097267456531,-2.40390539705397
"197","Ifit3",0.161616161616162,0.000186975841560963,-2.62935662007961
"198","Jaml",2.27328,0.000195592961758448,1.18477539191329
"199","Nrp1",0.301406727828746,0.000202051482178432,-1.73021647457791
"200","Tmem106a",0.393142857142857,0.000202996593194333,-1.34687445201759
"201","Sell",0.513278837420527,0.000204119197021589,-0.962185315690627
"202","Fcgr4",1.71109573241061,0.000217603406509456,0.774920478009911
"203","Iscu",1.45352472089314,0.000222566422814984,0.539555608389632
"204","Ppfia4",0.356666666666667,0.000222566422814984,-1.48735170409473
"205","Serf2",0.737484945093872,0.00022520000681623,-0.439314496183285
"206","Idh1",0.515364396654719,0.000253401576429017,-0.956335221143211
"207","Pim1",1.58990056204064,0.000264306421022285,0.668936537121609
"208","Siglece",2.34666666666667,0.000278262239704221,1.23061292814142
"209","Plscr1",3.79387387387387,0.000283232875440047,1.92367171761041
"210","Fgd4",0.605591397849462,0.000288412312448708,-0.72358338224546
"211","Ifi213",0.289146005509642,0.000309704261852794,-1.79012992315239
"212","Srsf9",0.57125138427464,0.000325738530490148,-0.807802338727616
"213","Malt1",1.4841717791411,0.000337429928934134,0.569658080215266
"214","Pdia6",0.635816993464052,0.000338868653581377,-0.653316519023792
"215","Cdc42ep3",0.603367003367003,0.000338868653581377,-0.728892293630525
"216","Tifab",0.540124843945069,0.000348108813706472,-0.88863518590125
"217","Cbfa2t3",0.465259631490787,0.0003564173129146,-1.10389207859505
"218","Fpr1",2.44229885057471,0.0003564173129146,1.28823974572347
"219","Rassf5",1.41216610549944,0.000370140833727078,0.497909795043935
"220","Eno1",0.73469918699187,0.000377230788405727,-0.444774416730147
"221","Itga4",1.44058465286236,0.000396087942252249,0.526654439863525
"222","Cmpk2",0.240306513409962,0.000403363920037807,-2.0570523422294
"223","Gm21188",0.703940242763772,0.000403363920037807,-0.50647513069452
"224","Vwa5a",0.375586854460094,0.000412310126729126,-1.41278152533848
"225","Klf7",2.65333333333333,0.000424461314873423,1.40780593004777
"226","Ikbke",3.09045045045045,0.000424750496116149,1.62781713433294
"227","Ergic1",3.59384615384615,0.00044067121245143,1.8455286509642
"228","Rnf213",0.536615384615385,0.000441043121338881,-0.898039678026252
"229","Rbms1",1.38011173184358,0.000461922487014947,0.464785070229104
"230","Atg101",1.8072380952381,0.000472230981861032,0.85378658710516
"231","Tmcc1",0.616843725943033,0.000472230981861032,-0.697023058289988
"232","Aif1",0.614465894465895,0.000479548438094367,-0.702595157927196
"233","Gm15832",5.62424242424242,0.0005387040136389,2.49165878088175
"234","Atp5k",0.694990859232175,0.000586159522063976,-0.524934091766517
"235","Aldh2",0.641612090680101,0.000596139971313059,-0.640226766374033
"236","Zfp52",3.48862745098039,0.000596139971313059,1.80265954097729
"237","Psmb3",0.786482334869432,0.000625415198344095,-0.346513733165635
"238","Npc2",0.65827131325064,0.000626083325345343,-0.603245766845091
"239","Irf5",0.662425876010782,0.00067621543248935,-0.594169065674371
"240","Atp5e",0.763474747474747,0.00067621543248935,-0.38934765534454
"241","Anxa2",0.631756204838203,0.000734765028575784,-0.662560166116449
"242","Ifi206",0.293546666666667,0.000753183005905489,-1.76833822045587
"243","Ptpn1",1.35363525091799,0.000764370205823166,0.436839044243058
"244","Bhlhe40",2.78418079096045,0.000766992462008385,1.47725289572454
"245","Cd274",2.36088888888889,0.000766992462008385,1.23933014524253
"246","Tmem176b",0.421431492842536,0.000766992462008385,-1.24662996661234
"247","Calhm6",0.265481481481481,0.000782660453903396,-1.91331686476795
"248","Ap1s2",1.62879839115133,0.000795515222333071,0.703808041502213
"249","Nrros",0.666158038147139,0.000855897545961497,-0.586063614582189
